timestamp,temperature,sys_load_1,cpu_percent,fan_rpm,cpu_freq
2018-05-10 20:09:39.053974,35,0.92,0.0124,645.0,1640.1072499999998
2018-05-10 20:10:39.058043,34,1.08,0.0088,645.0,1746.1754999999998
2018-05-10 20:11:39.062049,34,1.27,0.0111,636.0,1630.120625
2018-05-10 20:12:39.066159,34,0.91,0.01,641.0,1649.2910000000002
2018-05-10 20:13:39.070285,35,0.48,0.0136,646.0,1643.328375
2018-05-10 20:14:39.074084,34,0.17,0.011200000000000002,655.0,1605.1791249999999
2018-05-10 20:15:39.078216,35,0.1,0.0088,645.0,1703.969875
2018-05-10 20:16:39.082446,34,0.16,0.011200000000000002,634.0,1639.5278749999998
2018-05-10 20:17:39.086670,32,0.06,0.011200000000000002,646.0,1618.9561250000002
2018-05-10 20:18:39.090903,34,0.08,0.011200000000000002,642.0,1648.591
2018-05-10 20:19:39.094975,34,0.1,0.0123,647.0,1661.7058750000003
2018-05-10 20:20:39.099045,34,0.2,0.01,632.0,1798.4535
2018-05-10 20:21:39.103194,33,0.28,0.0111,639.0,1888.3980000000001
2018-05-10 20:22:39.107243,34,0.1,0.0136,652.0,1688.410375
2018-05-10 20:23:39.111283,34,0.21,0.0075,661.0,1904.6962500000002
2018-05-10 20:24:39.115502,35,0.08,0.0075,653.0,1702.530625
2018-05-10 20:25:39.119692,35,0.07,0.0088,643.0,1690.3763750000003
2018-05-10 20:26:39.123950,34,0.02,0.0075,650.0,1906.9499999999998
2018-05-10 20:27:39.128012,35,0.01,0.01,647.0,1767.7873749999999
2018-05-10 20:28:39.132110,35,0.0,0.011200000000000002,635.0,1832.12375
2018-05-10 20:29:39.136219,33,0.0,0.0088,652.0,1812.3758750000002
2018-05-10 20:30:39.140485,36,0.0,0.0088,649.0,1714.3681250000002
2018-05-10 20:31:39.145395,35,0.0,0.0075,638.0,1951.5506249999999
2018-05-10 20:32:39.149564,33,0.26,0.016200000000000003,632.0,1749.1185
2018-05-10 20:33:39.153588,34,0.1,0.0124,642.0,1807.5140000000001
2018-05-10 20:34:39.157695,33,0.03,0.011200000000000002,632.0,1776.7535
2018-05-10 20:35:39.161880,34,0.23,0.01,639.0,1619.7193750000001
2018-05-10 20:36:39.166200,34,0.08,0.01,650.0,1604.6104999999998
2018-05-10 20:37:39.170481,33,0.07,0.0149,648.0,1741.880625
2018-05-10 20:38:39.174761,33,0.02,0.0088,646.0,1605.444125
2018-05-10 20:39:39.178935,34,0.01,0.0075,652.0,1604.848125
2018-05-10 20:40:39.183032,35,0.06,0.0148,655.0,1639.6975
2018-05-10 20:41:39.187127,34,0.02,0.009899999999999999,648.0,1604.3347500000002
2018-05-10 20:42:39.191329,33,0.07,0.011200000000000002,656.0,1631.43575
2018-05-10 20:43:39.195471,33,0.1,0.0148,651.0,1643.257125
2018-05-10 20:44:39.199667,33,0.27,0.0088,656.0,1659.8973750000005
2018-05-10 20:45:39.203843,34,0.1,0.011200000000000002,638.0,1669.492375
2018-05-10 20:46:39.208017,34,0.08,0.0235,643.0,1668.021625
2018-05-10 20:47:39.212217,35,0.08,0.01,650.0,1618.844125
2018-05-10 20:48:39.216264,35,0.03,0.0088,632.0,1642.657625
2018-05-10 20:49:39.220543,34,0.05,0.016200000000000003,637.0,1666.6374999999998
2018-05-10 20:50:39.224864,33,0.02,0.0088,644.0,1691.7914999999998
2018-05-10 20:51:39.229042,33,0.04,0.01,640.0,1651.2201249999998
